id_vei,id_uo_vei,id_motorista,id_uo_motorista,distancia_percorrida_km,qtd_banguela,qtd_curvas,qtd_aceleracoes,qtd_frenagens,qtd_vel_faixa_1,qtd_vel_faixa_2,qtd_vel_faixa_3,tempo_vel_faixa_1,tempo_vel_faixa_2,tempo_vel_faixa_3,qtd_vel_via_faixa_1,qtd_vel_via_faixa_2,qtd_vel_via_faixa_3,tempo_vel_via_faixa_1,tempo_vel_via_faixa_2,tempo_vel_via_faixa_3,qtd_manuseio_celular,qtd_fadiga_motorista,qtd_distracao_motorista,qtd_uso_cigarro,score_geral,rank
13592,2870,637019.0,2950.0,29.955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,55.488788738663544,ruim
68462,93,636555.0,2950.0,742.455,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,68.68618300098996,regular
8423,3313,636531.0,2950.0,622.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
15028,2867,636977.0,2950.0,49.532,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,3.0,72.0,0.0,67.0,0.0,0.0,0.0,0.0,20.0,pessimo
9733,3313,636813.0,2950.0,429.29,18.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,208.0,0.0,574.0,0.0,0.0,0.0,0.0,33.56355843369284,pessimo
17951,3581,636868.0,2950.0,298.435,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,104.0,0.0,208.0,0.0,0.0,0.0,0.0,40.578908863459944,ruim
8620,2854,636866.0,2950.0,380.154,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,520.0,208.0,5.0,0.0,0.0,0.0,0.0,46.84338452311432,ruim
62657,3880,394843.0,3880.0,23.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
62657,3880,394850.0,3880.0,83.678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.79285674450473,otimo
43243,3321,636655.0,2950.0,305.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.61756157258682,otimo
67432,3927,449137.0,3927.0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
67432,3927,449137.0,3927.0,36.211,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.15893881233143,otimo
64296,4118,421708.0,4118.0,56.816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,ruim
7697,3327,636590.0,2950.0,546.484,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1668.0,0.0,0.0,0.0,0.0,44.095588037954144,ruim
67432,3927,449137.0,3927.0,48.687,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.02822108571077,otimo
23669,3327,636592.0,2950.0,60.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
63520,4123,433838.0,4123.0,70.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
54291,2869,636728.0,2950.0,343.52,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.95202608290639,otimo
12638,2855,636790.0,2950.0,41.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,50.0,ruim
27334,2871,636622.0,2950.0,631.219,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,97.78206929766056,otimo
12808,2870,636747.0,2950.0,26.39,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,47.26411519514967,ruim
64736,3313,636544.0,2950.0,384.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,312.0,648.0,0.0,0.0,0.0,0.0,0.0,50.0,ruim
64298,4118,421709.0,4118.0,57.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
62642,3887,394827.0,3887.0,60.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
20852,2871,636957.0,2950.0,457.93,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,91.046666521084,otimo
12808,2870,636747.0,2950.0,99.883,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,20.0,pessimo
7750,3313,636581.0,2950.0,335.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
62640,3887,394833.0,3887.0,62.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
52722,2855,636648.0,2950.0,57.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
52756,3581,637032.0,2950.0,383.413,0.0,0.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.39392421922747,bom
65533,4302,440151.0,4302.0,49.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
52764,3327,636848.0,2950.0,564.31,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,5832.0,0.0,0.0,0.0,0.0,45.74701848274884,ruim
66380,4098,492560.0,4098.0,60.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
