id_motorista,distancia_percorrida_km,qtd_banguela,qtd_curvas,qtd_aceleracoes,qtd_frenagens,qtd_vel_faixa_1,qtd_vel_faixa_2,qtd_vel_faixa_3,tempo_vel_faixa_1,tempo_vel_faixa_2,tempo_vel_faixa_3,qtd_vel_via_faixa_1,qtd_vel_via_faixa_2,qtd_vel_via_faixa_3,tempo_vel_via_faixa_1,tempo_vel_via_faixa_2,tempo_vel_via_faixa_3,qtd_manuseio_celular,qtd_fadiga_motorista,qtd_distracao_motorista,qtd_uso_cigarro,score_geral,rank
400913.0,1752.3989999999997,4.0,0.0,0.0,2.0,56.0,0.0,0.0,232.0,0.0,0.0,28.0,11.0,3.0,645.0,1491.0,104.0,0.0,0.0,0.0,0.0,94.90241101222246,otimo
400914.0,801.5130000000001,0.0,0.0,0.0,3.0,114.0,0.0,0.0,827.0,0.0,0.0,28.0,1.0,1.0,857.0,0.0,104.0,0.0,0.0,0.0,0.0,87.86383867417793,bom
400917.0,872.4960000000001,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,99.16666666666667,otimo
400918.0,1054.258,0.0,0.0,1.0,7.0,229.0,1.0,0.0,7462.0,43.0,0.0,52.0,0.0,7.0,1771.0,0.0,0.0,0.0,0.0,0.0,0.0,82.95074895305852,bom
400919.0,677.2839999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,99.20049199704914,otimo
400921.0,228.729,0.0,0.0,0.0,0.0,4.0,0.0,0.0,33.0,0.0,0.0,11.0,0.0,2.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,92.28892811837386,otimo
400926.0,3513.579000000001,0.0,0.0,0.0,2.0,852.0,65.0,0.0,51924.0,16321.0,0.0,270.0,104.0,88.0,22005.0,31064.0,5578.0,0.0,0.0,0.0,0.0,82.71918006380902,bom
400927.0,1594.2769999999998,0.0,0.0,1.0,0.0,90.0,4.0,0.0,639.0,419.0,0.0,31.0,12.0,2.0,705.0,1162.0,901.0,0.0,0.0,0.0,0.0,75.2363551426742,regular
400928.0,2326.3230000000003,0.0,0.0,2.0,4.0,338.0,0.0,0.0,2699.0,0.0,0.0,64.0,18.0,4.0,2234.0,2668.0,0.0,0.0,0.0,0.0,0.0,75.82171418107023,regular
400930.0,190.69299999999998,29.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,403.0,0.0,312.0,0.0,0.0,0.0,0.0,68.73519043980603,regular
400932.0,466.9290000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0941747716467,otimo
400935.0,1389.767,37.0,0.0,7.0,0.0,22.0,0.0,0.0,440.0,0.0,0.0,35.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,84.33386059940675,bom
400939.0,220.24699999999996,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,14.0,1.0,0.0,4541.0,36.0,0.0,0.0,0.0,0.0,0.0,88.9879016763121,bom
400942.0,533.8219999999999,0.0,3.0,10.0,0.0,12.0,0.0,0.0,126.0,0.0,0.0,17.0,3.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,69.84956465896255,regular
400943.0,1193.687,2.0,0.0,2.0,1.0,87.0,0.0,0.0,730.0,0.0,0.0,99.0,15.0,25.0,1666.0,324.0,2401.0,0.0,0.0,0.0,0.0,63.41915056382582,regular
400944.0,2.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
400947.0,146.06699999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,91.11111111111111,otimo
400949.0,1606.0489999999998,0.0,0.0,2.0,0.0,48.0,0.0,0.0,789.0,0.0,0.0,48.0,5.0,5.0,464.0,26.0,0.0,0.0,0.0,0.0,0.0,82.29463101389872,bom
400951.0,284.924,6.0,0.0,5.0,3.0,42.0,0.0,0.0,188.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.97109807655484,regular
400955.0,935.3330000000001,0.0,0.0,3.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,11.0,3.0,0.0,178.0,208.0,0.0,0.0,0.0,0.0,0.0,95.43703716901503,otimo
400958.0,666.0290000000001,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,88.91577413747731,bom
400962.0,784.5379999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,4.0,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,96.82681253330091,otimo
402618.0,320.3299999999999,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.05332900012323,otimo
407437.0,162.625,7.0,0.0,4.0,3.0,36.0,3.0,8.0,801.0,102.0,1268.0,15.0,1.0,0.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,61.37709329080531,regular
410277.0,2408.710000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
417631.0,1267.124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93817428668584,otimo
418582.0,1420.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
418583.0,1346.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
418969.0,1413.876,0.0,0.0,0.0,0.0,205.0,0.0,0.0,636.0,0.0,0.0,24.0,10.0,6.0,873.0,1046.0,1072.0,0.0,0.0,0.0,0.0,62.893429982079915,regular
420094.0,1174.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99022946110593,otimo
420095.0,791.9550000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
420096.0,1452.533,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9638613280188,otimo
420097.0,1424.395,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.50039344016588,otimo
420098.0,1767.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
420101.0,882.8429999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
420103.0,597.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
420106.0,568.085,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.42665426506458,otimo
421706.0,992.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
421708.0,1269.593,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.19699070793978,otimo
421709.0,1356.0780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
426113.0,1154.2169999999999,0.0,0.0,0.0,4.0,8.0,0.0,0.0,69.0,0.0,0.0,74.0,11.0,29.0,4296.0,1227.0,5257.0,0.0,0.0,0.0,0.0,92.23772420209677,otimo
429622.0,74.516,7.0,0.0,1.0,0.0,33.0,0.0,0.0,591.0,0.0,0.0,22.0,0.0,0.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,78.19555331031208,regular
429623.0,173.591,0.0,0.0,1.0,0.0,23.0,2.0,2.0,304.0,120.0,216.0,31.0,7.0,2.0,848.0,646.0,104.0,0.0,0.0,0.0,0.0,74.44444444444444,regular
431391.0,1007.4299999999996,0.0,0.0,0.0,2.0,242.0,1.0,0.0,2335.0,30.0,0.0,61.0,7.0,4.0,646.0,15.0,185.0,0.0,0.0,0.0,0.0,81.50162250388165,bom
433656.0,97.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
433838.0,2005.5879999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8367916255265,otimo
434536.0,851.7340000000003,0.0,0.0,4.0,459.0,122.0,1.0,0.0,1191.0,62.0,0.0,30.0,1.0,3.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,62.011553370304306,regular
440147.0,2132.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
440149.0,1559.98,0.0,0.0,0.0,0.0,10.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.32642510874211,otimo
440150.0,1264.1419999999998,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.22086259935882,otimo
440151.0,1733.2340000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99072356887497,otimo
440153.0,1707.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
440179.0,1732.921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97873806201633,otimo
440264.0,12.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
440299.0,963.9589999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97565217759514,otimo
440300.0,32.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
440301.0,1185.6799999999998,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.07910707190761,otimo
440539.0,661.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
440540.0,701.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98743182672357,otimo
440692.0,92.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
440903.0,1094.2849999999999,0.0,0.0,6.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,59.0,21.0,7.0,288.0,1064.0,49.0,0.0,0.0,0.0,0.0,74.14898598666242,regular
441580.0,1287.6229999999996,30.0,0.0,0.0,0.0,33.0,0.0,0.0,668.0,0.0,0.0,65.0,3.0,5.0,4120.0,0.0,69.0,0.0,0.0,0.0,0.0,89.91038766099638,bom
441709.0,2187.68,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9013063178082,otimo
441711.0,1249.13,0.0,0.0,0.0,0.0,35.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.71686763681696,otimo
442627.0,651.9599999999999,0.0,1.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.11323492993333,otimo
442716.0,1844.5369999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,260.0,2.0,1.0,8009.0,208.0,0.0,0.0,0.0,0.0,0.0,66.3522845701967,regular
442717.0,1142.7430000000002,5.0,0.0,0.0,0.0,144.0,3.0,0.0,829.0,58.0,0.0,27.0,10.0,2.0,2.0,1321.0,361.0,0.0,0.0,0.0,0.0,88.10229781755064,bom
